time,text,area
2025-04-01 21:30:00,今天刷到这个视频，属实有点大开眼界了,广东
2025-04-01 20:15:00,公职人员就可以随便亮证压人吗，底线在哪,江苏
2025-04-01 12:30:00,先别急着站队，等官方完整通报再说,浙江
2025-04-01 22:00:00,这年头特权思想还是根深蒂固啊,北京
2025-04-01 18:45:00,开车在路上最烦这种仗着身份耍横的,山东
2025-04-01 14:20:00,有没有完整行车记录仪视频？只看片段不好评价,四川
2025-04-01 10:30:00,理解工作人员的难处，但方式真的欠妥,湖北
2025-04-01 21:00:00,啧啧，这就是某些人嘴里的人民公仆？,上海
2025-04-01 19:30:00,单纯路怒还是滥用职权，得查清楚,湖南
2025-04-01 13:00:00,围观一下，看看后续怎么处理,河南
2025-04-02 10:15:00,亮证这件事，本质是权力边界问题,陕西
2025-04-02 21:45:00,普通人遇到这种情况根本没地方说理,重庆
2025-04-02 09:30:00,别一棍子打死，大部分基层执法还是很辛苦的,江苏
2025-04-02 22:30:00,新时代特权阶级的典型表现罢了,广东
2025-04-02 12:00:00,会不会又是反转？先蹲一波后续,浙江
2025-04-02 20:00:00,公权私用最伤老百姓的心,北京
2025-04-02 19:00:00,行车纠纷就好好讲道理，拿证件压人太低级,山东
2025-04-02 11:30:00,希望处理结果能公开透明，别不了了之,四川
2025-04-02 15:00:00,有些执法人员的态度真的该好好整顿了,湖北
2025-04-02 13:30:00,吃瓜归吃瓜，理性看待，别被带节奏,上海
2025-04-02 21:00:00,这种事不是个例，只是刚好被拍下来了,湖南
2025-04-02 20:30:00,凭什么公职人员就可以高人一等？,河南
2025-04-02 14:00:00,观望，等权威调查结果,陕西
2025-04-03 10:00:00,亮证≠执法，别混淆概念滥用身份,重庆
2025-04-03 22:00:00,视频里语气太冲了，完全没有服务意识,广东
2025-04-03 19:30:00,普通人跟公职人员起冲突，天然处于弱势,江苏
2025-04-03 20:00:00,支持严查，不能让特权思想横行,浙江
2025-04-03 11:00:00,会不会是双方都有问题？只看片段不客观,北京
2025-04-03 14:30:00,基层压力大可以理解，但不能成为耍横的理由,山东
2025-04-03 09:00:00,这种舆情事件最考验官方的回应速度,四川
2025-04-03 21:00:00,官僚作风要不得，尤其是基层一线人员,湖北
2025-04-03 12:30:00,网上吵成一片，现实里还是该干嘛干嘛,上海
2025-04-03 18:30:00,感觉就是普通路怒，被身份放大了矛盾,湖南
2025-04-03 22:30:00,特权不分大小，一点点特权都会刺痛人心,河南
2025-04-03 13:00:00,理性吃瓜，不造谣不传谣,陕西
2025-04-03 15:00:00,希望这件事能推动规范公职人员言行,重庆
2025-04-04 21:00:00,亮证施压真的很败好感，完全适得其反,广东
2025-04-04 10:30:00,现在网络发达，一点小事都能无限放大,江苏
2025-04-04 11:00:00,支持文明执法，反对滥用身份,浙江
2025-04-04 20:00:00,这件事反映的是执法规范的缺失,北京
2025-04-04 19:00:00,普通人维权太难，对方一句话就能压死你,山东
2025-04-04 14:00:00,别只骂一方，双方情绪都挺激动的,四川
2025-04-04 22:00:00,官方要是捂盖子，只会越闹越大,湖北
2025-04-04 12:30:00,看热闹的同时，也该反思权力约束问题,上海
2025-04-04 21:30:00,特权阶级四个字不是白叫的,湖南
2025-04-04 18:00:00,等了好几天，通报什么时候出,河南
2025-04-04 20:30:00,有些公职人员真的把身份当特权了,陕西
2025-04-04 13:00:00,不站队，等完整证据链,重庆
2025-04-04 19:30:00,开车斗气很正常，亮证就是越界了,广东
2025-04-05 10:00:00,这件事已经不只是行车纠纷，是公信力问题,江苏
2025-04-05 11:30:00,希望严惩，给普通人一个交代,浙江
2025-04-05 20:00:00,会不会最后大事化小，小事化了？,北京
2025-04-05 09:00:00,基层执法人员素质参差不齐是现实问题,山东
2025-04-05 22:00:00,阴阳怪气一句，这就是特权的味道,四川
2025-04-05 14:00:00,支持规范执法，拒绝官威,湖北
2025-04-05 12:00:00,网络舆情就是照妖镜，照出很多现实问题,上海
2025-04-05 10:30:00,别被舆论裹挟，客观看待每个细节,湖南
2025-04-05 21:00:00,凭什么普通人就要忍气吞声,河南
2025-04-05 20:30:00,特权思想一日不除，民心就一日不安稳,陕西
2025-04-05 19:00:00,官方回应太慢，群众耐心都耗没了,重庆
2025-04-05 18:30:00,行车纠纷可以协商，拿证件威胁太过分,广东
2025-04-05 09:30:00,我身边也遇到过类似仗身份压人的事,江苏
2025-04-06 11:00:00,这件事必须一查到底，不能含糊过去,浙江
2025-04-06 10:00:00,别搞身份对立，公职人员也是普通人,北京
2025-04-06 20:00:00,亮证行为本身就带有威慑和压迫感,山东
2025-04-06 21:30:00,吃瓜吃到现在，越看越心寒,四川
2025-04-06 14:00:00,希望通过这件事完善公职人员行为规范,湖北
2025-04-06 22:00:00,有些人穿上制服就忘了自己是谁,上海
2025-04-06 12:00:00,理性讨论，拒绝网络暴力,湖南
2025-04-06 20:30:00,特权的本质，就是把公权变成私人武器,河南
2025-04-06 15:00:00,官方通报终于来了，结果还算公正,陕西
2025-04-06 21:00:00,处理太轻了，起不到警示作用,重庆
2025-04-06 16:00:00,总算有交代了，希望以后少点这种事,广东
2025-04-06 10:30:00,支持官方处理结果，规范基层执法,江苏
2025-04-06 14:30:00,这件事给所有公职人员敲了警钟,浙江
2025-04-01 21:00:00,刷到视频第一反应：太离谱了,北京
2025-04-01 20:00:00,公职人员情绪管理这么差？,上海
2025-04-01 22:30:00,别动不动就亮证，这是权力滥用,重庆
2025-04-01 19:00:00,路怒谁都有，别拿身份当武器,陕西
2025-04-01 13:30:00,围观群众的视角，这件事很败路人缘,河南
2025-04-01 18:00:00,有没有后续处理结果？蹲一个,湖南
2025-04-01 11:00:00,我觉得双方都有情绪问题,湖北
2025-04-01 20:00:00,特权思想藏在细节里，亮证就是典型,四川
2025-04-01 10:00:00,文明社会，不是靠证件压人,山东
2025-04-01 12:00:00,等官方消息，不信片面视频,浙江
2025-04-02 21:00:00,权力不加约束，必然滋生特权,广东
2025-04-02 20:30:00,普通人只能在网上发声，现实里无可奈何,江苏
2025-04-02 22:00:00,这件事发酵这么久，必须重视,北京
2025-04-02 10:00:00,别把个别案例扩大到整个群体,上海
2025-04-02 21:30:00,亮证施压，是最拙劣的特权炫耀,重庆
2025-04-02 14:30:00,行车纠纷，沟通方式比证件重要,陕西
2025-04-02 22:30:00,网络曝光是普通人唯一的维权渠道,河南
2025-04-02 19:00:00,有些基层人员官本位思想太重,湖南
2025-04-02 11:00:00,理性吃瓜，不极端,湖北
2025-04-02 15:00:00,希望这件事能成为典型案例,四川
2025-04-02 20:00:00,凭什么身份高一级，说话就可以肆无忌惮,山东
2025-04-03 12:00:00,官方要是和稀泥，公信力直接崩塌,浙江
2025-04-03 21:00:00,亮证不是沟通，是威胁,广东
2025-04-03 10:00:00,公职人员更该约束自己言行,江苏
2025-04-03 20:00:00,这件事撕开了基层权力滥用的口子,北京
2025-04-03 13:30:00,别被情绪带偏，看事实讲证据,上海
2025-04-03 22:00:00,特权阶级，不是段子是现实,重庆
2025-04-03 19:30:00,开车斗气可以，亮证越界了,陕西
2025-04-03 14:00:00,舆情背后，是普通人对公平的渴望,河南
2025-04-03 18:00:00,基层执法压力大，不能成为犯错借口,湖南
2025-04-03 09:30:00,处理结果公开，才能平息舆论,湖北
2025-04-03 21:30:00,这件事让很多人对公职人员失望,四川
2025-04-04 10:30:00,身份是服务人民的，不是欺压人民的,山东
2025-04-04 12:00:00,网上吵翻天，现实里很多人感同身受,浙江
2025-04-04 21:00:00,亮证行为必须明令禁止,广东
2025-04-04 09:00:00,个别案例不能否定全部公职人员,江苏
2025-04-04 20:00:00,官威这东西，最让人反感,北京
2025-04-04 22:00:00,等了几天，还是没有详细通报,上海
2025-04-04 21:30:00,普通人的委屈，只能靠网络曝光,重庆
2025-04-04 20:30:00,这件事的本质是权力傲慢,陕西
2025-04-04 13:00:00,理性看待，既不洗白也不抹黑,河南
2025-04-04 19:00:00,特权不分大小，细节最伤人,湖南
2025-04-04 14:30:00,希望以后公职人员少点这种操作,湖北
2025-04-05 15:00:00,通报出来了，处理还算到位,四川
2025-04-05 11:00:00,早该规范这种亮证施压行为,山东
2025-04-05 10:00:00,这件事给公职人员上了一课,浙江
2025-04-05 22:00:00,别让特权思想继续蔓延,广东
2025-04-05 09:00:00,普通人终于看到一点公平,江苏
2025-04-05 14:00:00,个别人员问题，别抹黑整个系统,北京
2025-04-05 20:00:00,亮证的代价，就是失去民心,上海
2025-04-05 21:00:00,网络监督是最好的约束,重庆
2025-04-05 18:30:00,行车纠纷小事，特权思想大事,陕西
2025-04-05 13:00:00,后续希望加强基层人员培训,河南
2025-04-05 11:30:00,这件事可以作为警示教育案例,湖南
2025-04-06 14:00:00,以后遇到类似事，普通人更敢发声了,湖北
2025-04-06 21:00:00,特权思想一日不改，舆情就不会平息,四川
2025-04-06 10:00:00,官方处理及时，值得肯定,山东
2025-04-06 11:30:00,希望更多类似问题被曝光,浙江
2025-04-06 15:00:00,公职人员的一言一行都代表公信力,广东
2025-04-06 09:30:00,别让身份成为作恶的保护伞,江苏
2025-04-06 12:00:00,围观结束，希望社会更公平,北京
2025-04-06 20:00:00,这件事告诉我们，权力必须被监督,上海
2025-04-06 16:00:00,基层治理任重道远,重庆
2025-04-06 10:30:00,普通人的心声，终于被听见了,陕西
2025-04-06 14:30:00,以后亮证这种行为会少很多吧,河南
2025-04-06 13:00:00,吃瓜结束，理性看待社会问题,湖南
2025-04-01 22:00:00,今天偶然刷到这个视频，三观震碎,广东
2025-04-01 20:30:00,凭什么有证件就可以这么横,江苏
2025-04-01 12:00:00,先存个证，等后续反转,浙江
2025-04-01 21:00:00,特权真的藏在日常生活里,北京
2025-04-01 19:30:00,开车路上最怕遇到这种人,山东
2025-04-01 13:00:00,完整视频在哪里？求全片,四川
2025-04-01 10:30:00,理解不容易，但不能滥用身份,湖北
2025-04-01 22:30:00,啧啧，这就是所谓的公仆？,上海
2025-04-01 18:00:00,到底是路怒还是滥用职权，说清楚,湖南
2025-04-01 14:00:00,蹲后续处理结果,河南
2025-04-02 10:00:00,权力边界模糊，就容易滋生特权,陕西
2025-04-02 22:00:00,普通人维权渠道太少了,重庆
2025-04-02 09:00:00,大部分公职人员还是兢兢业业的,江苏
2025-04-02 21:30:00,特权阶级的日常罢了,广东
2025-04-02 11:00:00,坐等反转，网络瓜太多了,浙江
2025-04-02 20:00:00,公权不能私用，这是底线,北京
2025-04-02 19:00:00,斗气归斗气，别拿身份压人,山东
2025-04-02 14:00:00,公开透明，才能赢得信任,四川
2025-04-02 15:30:00,一线人员作风真的要整治,湖北
2025-04-02 12:30:00,别被营销号带节奏，理性吃瓜,上海
2025-04-02 21:00:00,这种事只是冰山一角,湖南
2025-04-02 20:30:00,为什么普通人总要让步,河南
2025-04-02 13:00:00,不站队，看官方说法,陕西
2025-04-03 22:00:00,亮证不等于拥有随便欺负人的权利,重庆
2025-04-03 21:00:00,态度恶劣，完全没有服务意识,广东
2025-04-03 19:30:00,身份带来的天然优势，太不公平,江苏
2025-04-03 20:00:00,必须严肃处理，杀鸡儆猴,浙江
2025-04-03 10:30:00,双方都冲动，只是一方有身份加持,北京
2025-04-03 14:00:00,压力大不能成为耍威风的借口,山东
2025-04-03 09:00:00,舆情应对能力有待提高,四川
2025-04-03 21:30:00,官本位思想害死人,湖北
2025-04-03 12:00:00,网上吵来吵去，现实照旧,上海
2025-04-03 18:30:00,矛盾被身份无限放大了,湖南
2025-04-03 22:30:00,一点点特权，就会寒一片民心,河南
2025-04-03 11:00:00,不信谣不传谣，等通报,陕西
2025-04-03 15:00:00,希望规范公职人员日常言行,重庆
2025-04-04 20:00:00,拿证件压人，最伤普通人感情,广东
2025-04-04 10:00:00,网络放大小事，也揭露大事,江苏
2025-04-04 11:30:00,文明执法是底线，态度很重要,浙江
2025-04-04 22:00:00,执法规范缺失，是根源问题,北京
2025-04-04 19:00:00,弱势群体维权太难了,山东
2025-04-04 14:30:00,别单方面指责，客观看问题,四川
2025-04-04 21:00:00,拖延回应只会激化矛盾,湖北
2025-04-04 12:00:00,透过舆情看社会治理问题,上海
2025-04-04 20:30:00,特权二字，刺痛多少人,湖南
2025-04-04 18:00:00,通报什么时候发布，等不及了,河南
2025-04-04 21:30:00,有些人把公职当成特权工具,陕西
2025-04-04 13:00:00,中立吃瓜，看完整证据,重庆
2025-04-04 19:30:00,行车吵架可以，亮证就过分了,广东
2025-04-04 09:30:00,我身边也有类似仗势欺人的情况,江苏
2025-04-05 10:00:00,此事关乎公信力，必须慎重处理,浙江
2025-04-05 11:00:00,不能只处罚个人，要完善制度,北京
2025-04-05 20:00:00,怕最后从轻处理，不了了之,山东
2025-04-05 09:30:00,基层人员素质参差不齐，需要加强教育,四川
2025-04-05 22:00:00,阴阳怪气：特权就是好用啊,湖北
2025-04-05 14:00:00,支持依法规范执法行为,上海
2025-04-05 12:30:00,网络是一面镜子，照出社会百态,湖南
2025-04-05 10:30:00,理性讨论，拒绝人身攻击,河南
2025-04-05 21:00:00,公权私有化，就是特权的本质,陕西
2025-04-05 19:00:00,官方终于发声，速度还是慢了,重庆
2025-04-05 15:00:00,处理结果合理，希望引以为戒,广东
2025-04-05 10:00:00,官方处理到位，值得点赞,江苏
2025-04-05 11:00:00,这件事给所有公职人员敲响警钟,浙江